payment_id,user_id,subscription_id,amount,payment_date
100,12,12,19.99,2023-02-16
101,12,12,19.99,2023-03-16
102,13,13,13.99,2025-04-04
103,13,13,13.99,2025-05-04
104,13,13,13.99,2025-06-04
105,13,13,13.99,2025-07-04
106,14,14,19.99,2024-12-08
107,14,14,19.99,2025-01-08
108,14,14,19.99,2025-02-08
109,14,14,19.99,2025-03-08
110,14,14,19.99,2025-04-08
111,14,14,19.99,2025-05-08
112,14,14,19.99,2025-06-08
113,14,14,19.99,2025-07-08
114,14,14,19.99,2025-08-08
115,14,14,19.99,2025-09-08
116,14,14,19.99,2025-10-08
117,14,14,19.99,2025-11-08
118,14,14,19.99,2025-12-08
119,15,15,13.99,2025-10-04
120,15,15,13.99,2025-11-04
121,15,15,13.99,2025-12-04
122,16,16,7.99,2024-02-15
123,16,16,7.99,2024-03-15
124,16,16,7.99,2024-04-15
125,16,16,7.99,2024-05-15
126,16,16,7.99,2024-06-15
127,16,16,7.99,2024-07-15
128,16,16,7.99,2024-08-15
129,16,16,7.99,2024-09-15
130,16,16,7.99,2024-10-15
131,16,16,7.99,2024-11-15
132,16,16,7.99,2024-12-15
133,16,16,7.99,2025-01-15
134,17,17,7.99,2023-12-08
135,17,17,7.99,2024-01-08
136,17,17,7.99,2024-02-08
137,17,17,7.99,2024-03-08
138,17,17,7.99,2024-04-08
139,17,17,7.99,2024-05-08
140,17,17,7.99,2024-06-08
141,17,17,7.99,2024-07-08
142,17,17,7.99,2024-08-08
143,17,17,7.99,2024-09-08
144,17,17,7.99,2024-10-08
145,17,17,7.99,2024-11-08
146,17,17,7.99,2024-12-08
147,17,17,7.99,2025-01-08
148,17,17,7.99,2025-02-08
149,17,17,7.99,2025-03-08
150,17,17,7.99,2025-04-08
151,18,18,7.99,2024-12-04
152,18,18,7.99,2025-01-04
153,18,18,7.99,2025-02-04
154,18,18,7.99,2025-03-04
155,18,18,7.99,2025-04-04
156,18,18,7.99,2025-05-04
157,18,18,7.99,2025-06-04
158,18,18,7.99,2025-07-04
159,19,19,7.99,2023-07-08
160,19,19,7.99,2023-08-08
161,19,19,7.99,2023-09-08
162,19,19,7.99,2023-10-08
163,19,19,7.99,2023-11-08
164,19,19,7.99,2023-12-08
165,19,19,7.99,2024-01-08
166,19,19,7.99,2024-02-08
167,19,19,7.99,2024-03-08
168,19,19,7.99,2024-04-08
169,19,19,7.99,2024-05-08
170,19,19,7.99,2024-06-08
171,19,19,7.99,2024-07-08
172,19,19,7.99,2024-08-08
173,19,19,7.99,2024-09-08
174,20,20,19.99,2025-01-23
175,20,20,19.99,2025-02-23
176,20,20,19.99,2025-03-23
177,20,20,19.99,2025-04-23
178,20,20,19.99,2025-05-23
179,20,20,19.99,2025-06-23
180,20,20,19.99,2025-07-23
181,21,21,13.99,2023-04-06
182,21,21,13.99,2023-05-06
183,21,21,13.99,2023-06-06
184,21,21,13.99,2023-07-06
185,21,21,13.99,2023-08-06
186,21,21,13.99,2023-09-06
187,21,21,13.99,2023-10-06
188,21,21,13.99,2023-11-06
189,21,21,13.99,2023-12-06
190,21,21,13.99,2024-01-06
191,21,21,13.99,2024-02-06
192,21,21,13.99,2024-03-06
193,21,21,13.99,2024-04-06
194,21,21,13.99,2024-05-06
195,21,21,13.99,2024-06-06
196,21,21,13.99,2024-07-06
197,21,21,13.99,2024-08-06
198,21,21,13.99,2024-09-06
199,21,21,13.99,2024-10-06
200,21,21,13.99,2024-11-06
201,21,21,13.99,2024-12-06
202,21,21,13.99,2025-01-06
203,21,21,13.99,2025-02-06
204,21,21,13.99,2025-03-06
205,21,21,13.99,2025-04-06
206,21,21,13.99,2025-05-06
207,21,21,13.99,2025-06-06
208,21,21,13.99,2025-07-06
209,21,21,13.99,2025-08-06
210,21,21,13.99,2025-09-06
211,21,21,13.99,2025-10-06
212,21,21,13.99,2025-11-06
213,21,21,13.99,2025-12-06
214,22,22,13.99,2024-02-05
215,22,22,13.99,2024-03-05
216,22,22,13.99,2024-04-05
217,22,22,13.99,2024-05-05
218,22,22,13.99,2024-06-05
219,22,22,13.99,2024-07-05
220,22,22,13.99,2024-08-05
221,22,22,13.99,2024-09-05
222,22,22,13.99,2024-10-05
223,22,22,13.99,2024-11-05
224,22,22,13.99,2024-12-05
225,22,22,13.99,2025-01-05
226,22,22,13.99,2025-02-05
227,22,22,13.99,2025-03-05
228,22,22,13.99,2025-04-05
229,22,22,13.99,2025-05-05
230,22,22,13.99,2025-06-05
231,22,22,13.99,2025-07-05
232,22,22,13.99,2025-08-05
233,22,22,13.99,2025-09-05
234,22,22,13.99,2025-10-05
235,22,22,13.99,2025-11-05
236,22,22,13.99,2025-12-05
237,23,23,7.99,2025-02-18
238,23,23,7.99,2025-03-18
239,23,23,7.99,2025-04-18
240,23,23,7.99,2025-05-18
241,23,23,7.99,2025-06-18
242,23,23,7.99,2025-07-18
243,23,23,7.99,2025-08-18
244,23,23,7.99,2025-09-18
245,23,23,7.99,2025-10-18
246,23,23,7.99,2025-11-18
247,23,23,7.99,2025-12-18
248,24,24,13.99,2023-10-03
249,24,24,13.99,2023-11-03
250,24,24,13.99,2023-12-03
251,24,24,13.99,2024-01-03
252,24,24,13.99,2024-02-03
253,24,24,13.99,2024-03-03
254,24,24,13.99,2024-04-03
255,24,24,13.99,2024-05-03
256,24,24,13.99,2024-06-03
257,24,24,13.99,2024-07-03
258,24,24,13.99,2024-08-03
259,24,24,13.99,2024-09-03
260,24,24,13.99,2024-10-03
261,24,24,13.99,2024-11-03
262,24,24,13.99,2024-12-03
263,24,24,13.99,2025-01-03
264,24,24,13.99,2025-02-03
265,24,24,13.99,2025-03-03
266,24,24,13.99,2025-04-03
267,24,24,13.99,2025-05-03
268,24,24,13.99,2025-06-03
269,24,24,13.99,2025-07-03
270,24,24,13.99,2025-08-03
271,24,24,13.99,2025-09-03
272,24,24,13.99,2025-10-03
273,24,24,13.99,2025-11-03
274,24,24,13.99,2025-12-03
275,25,25,19.99,2025-07-17
276,25,25,19.99,2025-08-17
277,25,25,19.99,2025-09-17
278,25,25,19.99,2025-10-17
279,25,25,19.99,2025-11-17
280,25,25,19.99,2025-12-17
281,26,26,13.99,2025-04-13
282,26,26,13.99,2025-05-13
283,26,26,13.99,2025-06-13
284,26,26,13.99,2025-07-13
285,26,26,13.99,2025-08-13
286,26,26,13.99,2025-09-13
287,26,26,13.99,2025-10-13
288,26,26,13.99,2025-11-13
289,26,26,13.99,2025-12-13
290,27,27,19.99,2024-02-22
291,27,27,19.99,2024-03-22
292,27,27,19.99,2024-04-22
293,27,27,19.99,2024-05-22
294,28,28,13.99,2024-01-23
295,28,28,13.99,2024-02-23
296,28,28,13.99,2024-03-23
297,29,29,13.99,2023-01-05
298,29,29,13.99,2023-02-05
299,30,30,13.99,2025-07-02
300,30,30,13.99,2025-08-02
301,31,31,13.99,2023-11-04
302,31,31,13.99,2023-12-04
303,31,31,13.99,2024-01-04
304,31,31,13.99,2024-02-04
305,31,31,13.99,2024-03-04
306,31,31,13.99,2024-04-04
307,31,31,13.99,2024-05-04
308,31,31,13.99,2024-06-04
309,31,31,13.99,2024-07-04
310,31,31,13.99,2024-08-04
311,31,31,13.99,2024-09-04
312,31,31,13.99,2024-10-04
313,31,31,13.99,2024-11-04
314,31,31,13.99,2024-12-04
315,31,31,13.99,2025-01-04
316,31,31,13.99,2025-02-04
317,31,31,13.99,2025-03-04
318,31,31,13.99,2025-04-04
319,31,31,13.99,2025-05-04
320,31,31,13.99,2025-06-04
321,31,31,13.99,2025-07-04
322,31,31,13.99,2025-08-04
323,31,31,13.99,2025-09-04
324,31,31,13.99,2025-10-04
325,31,31,13.99,2025-11-04
326,31,31,13.99,2025-12-04
327,32,32,7.99,2025-03-04
328,32,32,7.99,2025-04-04
329,32,32,7.99,2025-05-04
330,33,33,13.99,2023-08-26
331,33,33,13.99,2023-09-26
332,33,33,13.99,2023-10-26
333,33,33,13.99,2023-11-26
334,33,33,13.99,2023-12-26
335,33,33,13.99,2024-01-26
336,33,33,13.99,2024-02-26
337,33,33,13.99,2024-03-26
338,33,33,13.99,2024-04-26
339,33,33,13.99,2024-05-26
340,33,33,13.99,2024-06-26
341,33,33,13.99,2024-07-26
342,33,33,13.99,2024-08-26
343,33,33,13.99,2024-09-26
344,33,33,13.99,2024-10-26
345,33,33,13.99,2024-11-26
346,33,33,13.99,2024-12-26
347,33,33,13.99,2025-01-26
348,33,33,13.99,2025-02-26
349,33,33,13.99,2025-03-26
350,33,33,13.99,2025-04-26
351,33,33,13.99,2025-05-26
352,33,33,13.99,2025-06-26
353,33,33,13.99,2025-07-26
354,33,33,13.99,2025-08-26
355,33,33,13.99,2025-09-26
356,33,33,13.99,2025-10-26
357,33,33,13.99,2025-11-26
358,33,33,13.99,2025-12-26
359,34,34,7.99,2025-08-08
360,34,34,7.99,2025-09-08
361,35,35,7.99,2024-02-16
362,35,35,7.99,2024-03-16
363,35,35,7.99,2024-04-16
364,35,35,7.99,2024-05-16
365,35,35,7.99,2024-06-16
366,35,35,7.99,2024-07-16
367,35,35,7.99,2024-08-16
368,35,35,7.99,2024-09-16
369,35,35,7.99,2024-10-16
370,35,35,7.99,2024-11-16
371,35,35,7.99,2024-12-16
372,35,35,7.99,2025-01-16
373,35,35,7.99,2025-02-16
374,35,35,7.99,2025-03-16
375,35,35,7.99,2025-04-16
376,35,35,7.99,2025-05-16
377,35,35,7.99,2025-06-16
378,36,36,7.99,2023-11-10
379,36,36,7.99,2023-12-10
380,36,36,7.99,2024-01-10
381,36,36,7.99,2024-02-10
382,36,36,7.99,2024-03-10
383,36,36,7.99,2024-04-10
384,36,36,7.99,2024-05-10
385,36,36,7.99,2024-06-10
386,36,36,7.99,2024-07-10
387,36,36,7.99,2024-08-10
388,36,36,7.99,2024-09-10
389,36,36,7.99,2024-10-10
390,36,36,7.99,2024-11-10
391,36,36,7.99,2024-12-10
392,36,36,7.99,2025-01-10
393,36,36,7.99,2025-02-10
394,37,37,13.99,2023-12-06
395,37,37,13.99,2024-01-06
396,37,37,13.99,2024-02-06
397,37,37,13.99,2024-03-06
398,37,37,13.99,2024-04-06
399,37,37,13.99,2024-05-06
400,37,37,13.99,2024-06-06
401,37,37,13.99,2024-07-06
402,37,37,13.99,2024-08-06
403,37,37,13.99,2024-09-06
404,37,37,13.99,2024-10-06
405,37,37,13.99,2024-11-06
406,37,37,13.99,2024-12-06
407,37,37,13.99,2025-01-06
408,37,37,13.99,2025-02-06
409,37,37,13.99,2025-03-06
410,37,37,13.99,2025-04-06
411,37,37,13.99,2025-05-06
412,37,37,13.99,2025-06-06
413,37,37,13.99,2025-07-06
414,37,37,13.99,2025-08-06
415,37,37,13.99,2025-09-06
416,37,37,13.99,2025-10-06
417,37,37,13.99,2025-11-06
418,37,37,13.99,2025-12-06
419,38,38,7.99,2025-02-08
420,38,38,7.99,2025-03-08
421,38,38,7.99,2025-04-08
422,38,38,7.99,2025-05-08
423,38,38,7.99,2025-06-08
424,38,38,7.99,2025-07-08
425,39,39,19.99,2024-02-05
426,39,39,19.99,2024-03-05
427,39,39,19.99,2024-04-05
428,39,39,19.99,2024-05-05
429,39,39,19.99,2024-06-05
430,39,39,19.99,2024-07-05
431,39,39,19.99,2024-08-05
432,39,39,19.99,2024-09-05
433,39,39,19.99,2024-10-05
434,39,39,19.99,2024-11-05
435,39,39,19.99,2024-12-05
436,39,39,19.99,2025-01-05
437,39,39,19.99,2025-02-05
438,39,39,19.99,2025-03-05
439,39,39,19.99,2025-04-05
440,39,39,19.99,2025-05-05
441,39,39,19.99,2025-06-05
442,39,39,19.99,2025-07-05
443,39,39,19.99,2025-08-05
444,39,39,19.99,2025-09-05
445,40,40,19.99,2025-07-19
446,40,40,19.99,2025-08-19
447,40,40,19.99,2025-09-19
448,40,40,19.99,2025-10-19
449,40,40,19.99,2025-11-19
450,40,40,19.99,2025-12-19
451,41,41,7.99,2025-11-13
452,41,41,7.99,2025-12-13
453,42,42,19.99,2025-05-23
454,42,42,19.99,2025-06-23
455,43,43,7.99,2023-12-03
456,43,43,7.99,2024-01-03
457,44,44,13.99,2024-07-17
458,44,44,13.99,2024-08-17
459,44,44,13.99,2024-09-17
460,44,44,13.99,2024-10-17
461,44,44,13.99,2024-11-17
462,44,44,13.99,2024-12-17
463,44,44,13.99,2025-01-17
464,44,44,13.99,2025-02-17
465,44,44,13.99,2025-03-17
466,44,44,13.99,2025-04-17
467,45,45,19.99,2024-05-13
468,45,45,19.99,2024-06-13
469,45,45,19.99,2024-07-13
470,45,45,19.99,2024-08-13
471,45,45,19.99,2024-09-13
472,45,45,19.99,2024-10-13
473,45,45,19.99,2024-11-13
474,45,45,19.99,2024-12-13
475,45,45,19.99,2025-01-13
476,45,45,19.99,2025-02-13
477,45,45,19.99,2025-03-13
478,45,45,19.99,2025-04-13
479,46,46,13.99,2023-11-20
480,46,46,13.99,2023-12-20
481,46,46,13.99,2024-01-20
482,46,46,13.99,2024-02-20
483,46,46,13.99,2024-03-20
484,46,46,13.99,2024-04-20
485,46,46,13.99,2024-05-20
486,46,46,13.99,2024-06-20
487,46,46,13.99,2024-07-20
488,46,46,13.99,2024-08-20
489,46,46,13.99,2024-09-20
490,46,46,13.99,2024-10-20
491,46,46,13.99,2024-11-20
492,46,46,13.99,2024-12-20
493,46,46,13.99,2025-01-20
494,46,46,13.99,2025-02-20
495,46,46,13.99,2025-03-20
496,46,46,13.99,2025-04-20
497,46,46,13.99,2025-05-20
498,46,46,13.99,2025-06-20
499,46,46,13.99,2025-07-20
500,46,46,13.99,2025-08-20
501,46,46,13.99,2025-09-20
502,46,46,13.99,2025-10-20
503,46,46,13.99,2025-11-20
504,46,46,13.99,2025-12-20
505,47,47,13.99,2025-04-07
506,47,47,13.99,2025-05-07
507,48,48,13.99,2025-03-22
508,48,48,13.99,2025-04-22
509,48,48,13.99,2025-05-22
510,49,49,13.99,2023-03-02
511,49,49,13.99,2023-04-02
512,49,49,13.99,2023-05-02
513,49,49,13.99,2023-06-02
514,49,49,13.99,2023-07-02
515,49,49,13.99,2023-08-02
516,49,49,13.99,2023-09-02
517,49,49,13.99,2023-10-02
518,49,49,13.99,2023-11-02
519,49,49,13.99,2023-12-02
520,49,49,13.99,2024-01-02
521,50,50,7.99,2023-07-07
522,50,50,7.99,2023-08-07
523,50,50,7.99,2023-09-07
524,50,50,7.99,2023-10-07
525,50,50,7.99,2023-11-07
526,50,50,7.99,2023-12-07
527,50,50,7.99,2024-01-07
528,50,50,7.99,2024-02-07
529,50,50,7.99,2024-03-07
530,50,50,7.99,2024-04-07
531,50,50,7.99,2024-05-07
532,50,50,7.99,2024-06-07
533,50,50,7.99,2024-07-07
534,50,50,7.99,2024-08-07
535,51,51,7.99,2024-09-24
536,51,51,7.99,2024-10-24
537,52,52,7.99,2023-10-20
538,52,52,7.99,2023-11-20
539,52,52,7.99,2023-12-20
540,52,52,7.99,2024-01-20
541,52,52,7.99,2024-02-20
542,53,53,13.99,2025-09-15
543,53,53,13.99,2025-10-15
544,53,53,13.99,2025-11-15
545,53,53,13.99,2025-12-15
546,54,54,13.99,2025-12-17
547,55,55,7.99,2025-01-09
548,55,55,7.99,2025-02-09
549,55,55,7.99,2025-03-09
550,56,56,13.99,2023-09-06
551,56,56,13.99,2023-10-06
552,56,56,13.99,2023-11-06
553,56,56,13.99,2023-12-06
554,56,56,13.99,2024-01-06
555,56,56,13.99,2024-02-06
556,56,56,13.99,2024-03-06
557,56,56,13.99,2024-04-06
558,56,56,13.99,2024-05-06
559,56,56,13.99,2024-06-06
560,57,57,7.99,2023-02-15
561,57,57,7.99,2023-03-15
562,57,57,7.99,2023-04-15
563,57,57,7.99,2023-05-15
564,57,57,7.99,2023-06-15
565,57,57,7.99,2023-07-15
566,57,57,7.99,2023-08-15
567,57,57,7.99,2023-09-15
568,57,57,7.99,2023-10-15
569,57,57,7.99,2023-11-15
570,58,58,19.99,2025-01-27
571,58,58,19.99,2025-02-27
572,58,58,19.99,2025-03-27
573,58,58,19.99,2025-04-27
574,58,58,19.99,2025-05-27
575,58,58,19.99,2025-06-27
576,58,58,19.99,2025-07-27
577,58,58,19.99,2025-08-27
578,58,58,19.99,2025-09-27
579,58,58,19.99,2025-10-27
580,58,58,19.99,2025-11-27
581,59,59,7.99,2025-07-10
582,59,59,7.99,2025-08-10
583,59,59,7.99,2025-09-10
584,59,59,7.99,2025-10-10
585,59,59,7.99,2025-11-10
586,59,59,7.99,2025-12-10
587,60,60,7.99,2025-09-15
588,60,60,7.99,2025-10-15
589,60,60,7.99,2025-11-15
590,60,60,7.99,2025-12-15
591,61,61,13.99,2025-06-18
592,61,61,13.99,2025-07-18
593,61,61,13.99,2025-08-18
594,61,61,13.99,2025-09-18
595,61,61,13.99,2025-10-18
596,61,61,13.99,2025-11-18
597,61,61,13.99,2025-12-18
598,62,62,13.99,2025-12-20
599,63,63,13.99,2024-04-10
600,63,63,13.99,2024-05-10
601,63,63,13.99,2024-06-10
602,63,63,13.99,2024-07-10
603,63,63,13.99,2024-08-10
604,63,63,13.99,2024-09-10
605,63,63,13.99,2024-10-10
606,63,63,13.99,2024-11-10
607,63,63,13.99,2024-12-10
608,63,63,13.99,2025-01-10
609,63,63,13.99,2025-02-10
610,63,63,13.99,2025-03-10
611,63,63,13.99,2025-04-10
612,63,63,13.99,2025-05-10
613,63,63,13.99,2025-06-10
614,63,63,13.99,2025-07-10
615,63,63,13.99,2025-08-10
616,63,63,13.99,2025-09-10
617,63,63,13.99,2025-10-10
618,63,63,13.99,2025-11-10
619,63,63,13.99,2025-12-10
620,64,64,13.99,2024-10-17
621,64,64,13.99,2024-11-17
622,64,64,13.99,2024-12-17
623,64,64,13.99,2025-01-17
624,64,64,13.99,2025-02-17
625,64,64,13.99,2025-03-17
626,64,64,13.99,2025-04-17
627,64,64,13.99,2025-05-17
628,64,64,13.99,2025-06-17
629,64,64,13.99,2025-07-17
630,65,65,7.99,2023-08-26
631,65,65,7.99,2023-09-26
632,65,65,7.99,2023-10-26
633,65,65,7.99,2023-11-26
634,65,65,7.99,2023-12-26
635,65,65,7.99,2024-01-26
636,65,65,7.99,2024-02-26
637,65,65,7.99,2024-03-26
638,65,65,7.99,2024-04-26
639,65,65,7.99,2024-05-26
640,65,65,7.99,2024-06-26
641,65,65,7.99,2024-07-26
642,65,65,7.99,2024-08-26
643,65,65,7.99,2024-09-26
644,65,65,7.99,2024-10-26
645,65,65,7.99,2024-11-26
646,65,65,7.99,2024-12-26
647,65,65,7.99,2025-01-26
648,65,65,7.99,2025-02-26
649,65,65,7.99,2025-03-26
650,65,65,7.99,2025-04-26
651,65,65,7.99,2025-05-26
652,65,65,7.99,2025-06-26
653,65,65,7.99,2025-07-26
654,65,65,7.99,2025-08-26
655,65,65,7.99,2025-09-26
656,65,65,7.99,2025-10-26
657,65,65,7.99,2025-11-26
658,65,65,7.99,2025-12-26
659,66,66,7.99,2024-01-09
660,66,66,7.99,2024-02-09
661,66,66,7.99,2024-03-09
662,66,66,7.99,2024-04-09
663,66,66,7.99,2024-05-09
664,66,66,7.99,2024-06-09
665,66,66,7.99,2024-07-09
666,66,66,7.99,2024-08-09
667,66,66,7.99,2024-09-09
668,66,66,7.99,2024-10-09
669,66,66,7.99,2024-11-09
670,66,66,7.99,2024-12-09
671,66,66,7.99,2025-01-09
672,66,66,7.99,2025-02-09
673,66,66,7.99,2025-03-09
674,66,66,7.99,2025-04-09
675,66,66,7.99,2025-05-09
676,66,66,7.99,2025-06-09
677,66,66,7.99,2025-07-09
678,66,66,7.99,2025-08-09
679,66,66,7.99,2025-09-09
680,66,66,7.99,2025-10-09
681,66,66,7.99,2025-11-09
682,66,66,7.99,2025-12-09
683,67,67,13.99,2023-10-23
684,67,67,13.99,2023-11-23
685,67,67,13.99,2023-12-23
686,67,67,13.99,2024-01-23
687,68,68,13.99,2024-05-27
688,68,68,13.99,2024-06-27
689,68,68,13.99,2024-07-27
690,68,68,13.99,2024-08-27
691,68,68,13.99,2024-09-27
692,68,68,13.99,2024-10-27
693,69,69,13.99,2025-12-08
694,70,70,19.99,2025-02-08
695,70,70,19.99,2025-03-08
696,70,70,19.99,2025-04-08
697,70,70,19.99,2025-05-08
698,70,70,19.99,2025-06-08
699,70,70,19.99,2025-07-08
700,70,70,19.99,2025-08-08
701,70,70,19.99,2025-09-08
702,70,70,19.99,2025-10-08
703,70,70,19.99,2025-11-08
704,70,70,19.99,2025-12-08
705,71,71,19.99,2024-09-08
706,71,71,19.99,2024-10-08
707,71,71,19.99,2024-11-08
708,71,71,19.99,2024-12-08
709,71,71,19.99,2025-01-08
710,71,71,19.99,2025-02-08
711,71,71,19.99,2025-03-08
712,71,71,19.99,2025-04-08
713,71,71,19.99,2025-05-08
714,71,71,19.99,2025-06-08
715,71,71,19.99,2025-07-08
716,71,71,19.99,2025-08-08
717,71,71,19.99,2025-09-08
718,71,71,19.99,2025-10-08
719,71,71,19.99,2025-11-08
720,71,71,19.99,2025-12-08
721,72,72,13.99,2023-06-25
722,72,72,13.99,2023-07-25
723,72,72,13.99,2023-08-25
724,72,72,13.99,2023-09-25
725,72,72,13.99,2023-10-25
726,72,72,13.99,2023-11-25
727,72,72,13.99,2023-12-25
728,72,72,13.99,2024-01-25
729,72,72,13.99,2024-02-25
730,72,72,13.99,2024-03-25
731,72,72,13.99,2024-04-25
732,72,72,13.99,2024-05-25
733,72,72,13.99,2024-06-25
734,72,72,13.99,2024-07-25
735,72,72,13.99,2024-08-25
736,72,72,13.99,2024-09-25
737,72,72,13.99,2024-10-25
738,72,72,13.99,2024-11-25
739,72,72,13.99,2024-12-25
740,72,72,13.99,2025-01-25
741,72,72,13.99,2025-02-25
742,72,72,13.99,2025-03-25
743,72,72,13.99,2025-04-25
744,72,72,13.99,2025-05-25
745,72,72,13.99,2025-06-25
746,73,73,13.99,2024-07-19
747,73,73,13.99,2024-08-19
748,73,73,13.99,2024-09-19
749,73,73,13.99,2024-10-19
750,73,73,13.99,2024-11-19
751,73,73,13.99,2024-12-19
752,73,73,13.99,2025-01-19
753,73,73,13.99,2025-02-19
754,73,73,13.99,2025-03-19
755,73,73,13.99,2025-04-19
756,73,73,13.99,2025-05-19
757,73,73,13.99,2025-06-19
758,73,73,13.99,2025-07-19
759,73,73,13.99,2025-08-19
760,73,73,13.99,2025-09-19
761,73,73,13.99,2025-10-19
762,73,73,13.99,2025-11-19
763,73,73,13.99,2025-12-19
764,74,74,13.99,2024-03-24
765,74,74,13.99,2024-04-24
766,74,74,13.99,2024-05-24
767,74,74,13.99,2024-06-24
768,74,74,13.99,2024-07-24
769,75,75,7.99,2024-05-13
770,75,75,7.99,2024-06-13
771,75,75,7.99,2024-07-13
772,75,75,7.99,2024-08-13
773,75,75,7.99,2024-09-13
774,75,75,7.99,2024-10-13
775,75,75,7.99,2024-11-13
776,75,75,7.99,2024-12-13
777,75,75,7.99,2025-01-13
778,75,75,7.99,2025-02-13
779,76,76,7.99,2023-08-22
780,76,76,7.99,2023-09-22
781,77,77,13.99,2025-08-16
782,77,77,13.99,2025-09-16
783,77,77,13.99,2025-10-16
784,77,77,13.99,2025-11-16
785,77,77,13.99,2025-12-16
786,78,78,19.99,2023-06-05
787,78,78,19.99,2023-07-05
788,78,78,19.99,2023-08-05
789,79,79,19.99,2025-04-21
790,79,79,19.99,2025-05-21
791,79,79,19.99,2025-06-21
792,79,79,19.99,2025-07-21
793,79,79,19.99,2025-08-21
794,79,79,19.99,2025-09-21
795,79,79,19.99,2025-10-21
796,79,79,19.99,2025-11-21
797,79,79,19.99,2025-12-21
798,80,80,7.99,2023-09-10
799,80,80,7.99,2023-10-10
800,80,80,7.99,2023-11-10
801,80,80,7.99,2023-12-10
802,81,81,7.99,2025-03-21
803,81,81,7.99,2025-04-21
804,81,81,7.99,2025-05-21
805,81,81,7.99,2025-06-21
806,81,81,7.99,2025-07-21
807,81,81,7.99,2025-08-21
808,81,81,7.99,2025-09-21
809,81,81,7.99,2025-10-21
810,81,81,7.99,2025-11-21
811,81,81,7.99,2025-12-21
812,82,82,7.99,2024-09-23
813,82,82,7.99,2024-10-23
814,82,82,7.99,2024-11-23
815,82,82,7.99,2024-12-23
816,82,82,7.99,2025-01-23
817,82,82,7.99,2025-02-23
818,82,82,7.99,2025-03-23
819,82,82,7.99,2025-04-23
820,82,82,7.99,2025-05-23
