subscription_id,user_id,plan_id,start_date,end_date,status
90,90,2,2024-11-21,,active
91,91,3,2025-12-07,,active
92,92,2,2024-08-03,2024-09-03,canceled
93,93,1,2025-05-15,2025-06-15,canceled
94,94,1,2023-04-09,2023-08-09,canceled
95,95,1,2025-12-08,,active
96,96,3,2025-09-09,,active
97,97,3,2024-12-11,2025-06-11,canceled
98,98,3,2025-07-15,,active
99,99,1,2025-11-24,,active
100,100,2,2024-12-27,,active
101,101,2,2023-10-17,2024-12-17,canceled
102,102,2,2025-01-09,,active
103,103,3,2024-05-12,,active
104,104,1,2025-06-18,,active
105,105,2,2023-05-12,2025-09-12,canceled
106,106,2,2024-10-13,,active
107,107,1,2024-12-17,,active
108,108,1,2024-02-09,2024-09-09,canceled
109,109,1,2025-01-10,,active
110,110,2,2025-12-27,,active
111,111,2,2025-05-03,,active
112,112,3,2024-01-21,,active
113,113,1,2025-06-02,,active
114,114,2,2024-01-23,,active
115,115,2,2023-02-13,2023-05-13,canceled
116,116,1,2024-07-06,2025-04-06,canceled
117,117,2,2025-11-12,,active
118,118,3,2025-03-20,,active
119,119,1,2023-07-11,2025-03-11,canceled
120,120,1,2025-06-02,,active
121,121,2,2025-02-25,,active
122,122,2,2024-09-04,2025-12-04,canceled
123,123,1,2024-08-10,,active
124,124,3,2024-02-21,,active
125,125,2,2023-08-12,2023-10-12,canceled
126,126,2,2024-04-06,2024-07-06,canceled
127,127,2,2025-09-03,2025-12-03,canceled
128,128,2,2023-10-05,2024-08-05,canceled
129,129,2,2024-05-14,2025-10-14,canceled
130,130,1,2025-11-20,,active
131,131,3,2025-12-06,,active
132,132,1,2024-07-15,,active
133,133,1,2024-01-16,2024-03-16,canceled
134,134,1,2025-04-17,,active
135,135,1,2023-07-10,2023-08-10,canceled
136,136,2,2024-03-24,2024-05-24,canceled
137,137,1,2025-02-09,2025-09-09,canceled
138,138,2,2024-11-11,2025-01-11,canceled
139,139,2,2025-02-07,2025-10-07,canceled
140,140,1,2024-09-21,2024-12-21,canceled
141,141,1,2025-11-27,,active
142,142,2,2025-12-08,,active
143,143,2,2024-02-12,2024-04-12,canceled
144,144,2,2024-07-24,,active
145,145,2,2025-07-25,,active
146,146,3,2025-02-26,,active
147,147,2,2023-06-17,,active
148,148,3,2025-09-01,,active
149,149,2,2024-10-02,,active
150,150,2,2025-05-05,,active
151,151,2,2024-04-04,2025-10-04,canceled
152,152,1,2023-03-16,2023-12-16,canceled
153,153,1,2024-06-15,,active
154,154,2,2025-06-07,,active
155,155,2,2023-12-05,2025-01-05,canceled
156,156,1,2025-05-24,,active
157,157,1,2025-01-18,2025-08-18,canceled
158,158,1,2023-04-25,2025-04-25,canceled
159,159,2,2023-04-15,2025-08-15,canceled
160,160,3,2023-03-24,2023-04-24,canceled
161,161,1,2025-01-10,,active
162,162,3,2024-03-21,,active
163,163,2,2024-04-25,2024-12-25,canceled
164,164,2,2024-07-19,,active
165,165,2,2024-05-20,2024-06-20,canceled
166,166,1,2023-08-13,,active
167,167,1,2025-03-24,,active
168,168,3,2025-10-13,,active
169,169,3,2025-03-14,2025-05-14,canceled
170,170,2,2024-11-19,2025-10-19,canceled
171,171,2,2024-02-07,2024-10-07,canceled
172,172,3,2024-12-13,2025-05-13,canceled
173,173,1,2025-08-10,,active
174,174,1,2025-10-03,2025-11-03,canceled
175,175,2,2024-07-26,2024-09-26,canceled
176,176,1,2023-08-26,,active
177,177,2,2025-08-11,,active
178,178,3,2025-03-06,,active
179,179,2,2024-07-16,,active
180,180,2,2025-06-07,,active
181,181,3,2025-08-15,,active
182,182,1,2025-10-01,,active
183,183,2,2023-08-01,2024-08-01,canceled
184,184,1,2024-03-24,2025-05-24,canceled
185,185,1,2023-12-01,2025-06-01,canceled
186,186,2,2025-06-20,,active
187,187,3,2025-04-07,2025-05-07,canceled
188,188,3,2025-06-19,2025-12-19,canceled
189,189,1,2025-01-17,,active
190,190,1,2024-03-04,2025-06-04,canceled
191,191,1,2025-07-11,,active
192,192,1,2024-08-12,2025-10-12,canceled
193,193,1,2025-02-25,2025-06-25,canceled
194,194,2,2023-09-13,2023-11-13,canceled
195,195,1,2025-11-11,,active
196,196,3,2025-12-03,,active
197,197,1,2024-08-04,2024-11-04,canceled
198,198,2,2025-11-11,,active
199,199,3,2024-09-09,2024-11-09,canceled
200,200,1,2023-09-05,2024-10-05,canceled
201,201,1,2025-12-23,,active
202,202,3,2024-04-07,2024-11-07,canceled
203,203,3,2024-01-19,2025-10-19,canceled
204,204,2,2024-01-25,,active
205,205,3,2025-04-15,,active
206,206,1,2025-09-08,,active
207,207,1,2025-05-20,,active
208,208,3,2025-10-17,,active
209,209,1,2024-10-13,2025-08-13,canceled
210,210,2,2025-12-17,,active
211,211,1,2024-05-01,2025-07-01,canceled
212,212,1,2023-05-17,,active
213,213,2,2023-06-19,2023-12-19,canceled
214,214,2,2025-08-02,2025-10-02,canceled
215,215,1,2025-01-09,,active
216,216,3,2023-05-10,2023-08-10,canceled
217,217,2,2025-09-20,,active
218,218,3,2023-05-10,2023-07-10,canceled
219,219,1,2024-12-14,2025-09-14,canceled
220,220,1,2023-04-19,2023-10-19,canceled
221,221,2,2024-02-03,,active
222,222,3,2024-05-09,2024-09-09,canceled
223,223,2,2025-07-03,,active
224,224,3,2023-10-03,2024-09-03,canceled
225,225,2,2024-02-03,,active
226,226,2,2025-11-03,2025-12-03,canceled
227,227,1,2025-06-24,,active
228,228,3,2024-11-03,,active
229,229,1,2025-07-04,2025-08-04,canceled
230,230,1,2024-04-16,2025-11-16,canceled
231,231,1,2025-10-15,,active
232,232,3,2025-04-13,2025-08-13,canceled
233,233,1,2025-06-24,,active
234,234,2,2024-11-26,,active
235,235,3,2023-09-10,2024-06-10,canceled
236,236,1,2025-01-15,2025-10-15,canceled
237,237,3,2023-03-05,2023-07-05,canceled
238,238,2,2024-03-27,,active
239,239,3,2024-10-08,2025-06-08,canceled
240,240,2,2025-03-16,,active
241,241,2,2023-10-02,2024-06-02,canceled
242,242,1,2023-02-15,,active
243,243,2,2025-06-27,,active
244,244,3,2024-07-04,2025-03-04,canceled
245,245,3,2025-12-16,,active
246,246,1,2023-08-24,,active
247,247,1,2025-01-09,2025-03-09,canceled
248,248,1,2025-08-02,,active
249,249,1,2023-11-25,,active
250,250,1,2024-08-09,2025-08-09,canceled
251,251,2,2024-08-21,,active
252,252,2,2024-11-24,,active
253,253,3,2024-08-18,,active
254,254,1,2024-04-06,,active
255,255,2,2025-11-15,2025-12-15,canceled
256,256,2,2023-09-04,2023-12-04,canceled
257,257,1,2023-11-03,,active
258,258,1,2024-07-09,2024-08-09,canceled
259,259,2,2025-07-12,,active
260,260,1,2024-02-08,2024-08-08,canceled
261,261,1,2025-04-01,,active
262,262,1,2023-01-10,2023-06-10,canceled
263,263,1,2025-12-03,,active
264,264,3,2024-11-23,,active
265,265,1,2024-11-01,,active
266,266,2,2025-10-13,,active
267,267,1,2024-05-08,,active
268,268,1,2023-08-18,2024-07-18,canceled
269,269,1,2023-08-19,2024-09-19,canceled
270,270,1,2023-06-14,,active
271,271,1,2024-05-21,,active
272,272,1,2024-03-18,2025-05-18,canceled
273,273,1,2024-07-12,,active
274,274,1,2025-04-18,,active
275,275,2,2025-08-25,,active
276,276,1,2025-07-21,,active
277,277,2,2025-02-02,2025-08-02,canceled
278,278,1,2024-06-12,2025-02-12,canceled
279,279,1,2025-10-01,,active
280,280,1,2025-03-02,,active
281,281,1,2025-03-19,2025-08-19,canceled
282,282,2,2024-10-25,,active
283,283,1,2024-09-21,2025-05-21,canceled
284,284,1,2024-04-06,,active
285,285,1,2023-02-27,2023-06-27,canceled
286,286,1,2024-09-06,2025-11-06,canceled
287,287,2,2024-07-26,,active
288,288,2,2025-04-24,2025-05-24,canceled
289,289,3,2023-08-11,2023-12-11,canceled
290,290,2,2025-02-15,2025-06-15,canceled
291,291,2,2023-11-25,2024-06-25,canceled
292,292,2,2023-02-15,,active
293,293,1,2025-10-07,,active
294,294,2,2024-03-01,2025-03-01,canceled
295,295,3,2024-02-21,2024-11-21,canceled
296,296,1,2023-01-13,2023-08-13,canceled
297,297,1,2024-03-22,2024-08-22,canceled
298,298,3,2024-04-25,2024-08-25,canceled
299,299,2,2025-08-16,2025-11-16,canceled
300,300,2,2025-08-27,,active
301,301,1,2025-12-25,,active
302,302,2,2024-10-07,,active
303,303,2,2023-07-01,2023-09-01,canceled
304,304,2,2024-09-08,,active
305,305,2,2024-07-26,2025-09-26,canceled
306,306,2,2023-02-21,2023-07-21,canceled
307,307,1,2025-04-07,2025-06-07,canceled
308,308,1,2025-05-01,2025-09-01,canceled
309,309,3,2024-12-25,,active
310,310,2,2024-10-16,,active
311,311,1,2024-04-26,,active
312,312,1,2024-09-24,2025-03-24,canceled
313,313,3,2024-09-12,,active
314,314,2,2023-05-02,2023-10-02,canceled
315,315,1,2024-02-01,,active
316,316,1,2024-08-18,,active
317,317,1,2024-02-27,,active
318,318,1,2023-11-17,2025-05-17,canceled
319,319,2,2024-08-26,2025-09-26,canceled
320,320,1,2024-02-01,2024-08-01,canceled
321,321,2,2024-09-13,2025-04-13,canceled
322,322,2,2024-01-22,2025-06-22,canceled
323,323,2,2023-07-23,2024-10-23,canceled
324,324,3,2024-02-05,,active
325,325,3,2023-07-03,,active
326,326,3,2023-09-19,,active
327,327,3,2025-12-17,,active
328,328,1,2025-05-07,2025-07-07,canceled
329,329,2,2024-06-01,,active
330,330,2,2023-01-09,2023-11-09,canceled
331,331,2,2024-08-18,,active
332,332,1,2024-04-21,2024-05-21,canceled
333,333,3,2024-11-09,,active
334,334,2,2024-12-17,,active
335,335,2,2024-10-11,,active
336,336,2,2024-03-08,2024-12-08,canceled
337,337,1,2025-02-21,,active
338,338,1,2024-10-23,2024-12-23,canceled
339,339,3,2024-08-04,2025-01-04,canceled
340,340,3,2023-03-06,2024-05-06,canceled
341,341,1,2024-04-15,2025-08-15,canceled
342,342,2,2024-10-16,2024-12-16,canceled
343,343,3,2025-09-09,,active
344,344,2,2025-09-01,,active
345,345,1,2023-10-09,2025-06-09,canceled
346,346,2,2023-11-13,,active
347,347,2,2024-08-15,2024-10-15,canceled
348,348,3,2024-04-06,,active
349,349,2,2024-09-15,2025-05-15,canceled
350,350,1,2025-02-24,2025-09-24,canceled
351,351,1,2025-10-01,2025-11-01,canceled
352,352,2,2023-08-11,,active
353,353,2,2024-07-18,2025-05-18,canceled
354,354,2,2025-01-10,,active
355,355,3,2025-11-06,,active
356,356,2,2024-04-16,2025-08-16,canceled
357,357,1,2025-11-13,2025-12-13,canceled
358,358,3,2025-11-04,,active
359,359,2,2024-05-01,2025-08-01,canceled
360,360,1,2025-01-12,2025-05-12,canceled
361,361,2,2025-04-18,,active
362,362,1,2025-04-03,2025-06-03,canceled
363,363,3,2023-01-11,2024-01-11,canceled
364,364,2,2024-01-10,,active
365,365,1,2023-11-04,2024-06-04,canceled
366,366,2,2025-12-26,,active
367,367,2,2024-03-02,2024-04-02,canceled
368,368,2,2024-05-27,2025-08-27,canceled
369,369,1,2024-10-10,,active
370,370,2,2025-01-24,,active
371,371,2,2024-08-08,2025-07-08,canceled
372,372,2,2025-02-20,2025-11-20,canceled
373,373,2,2024-12-05,2025-01-05,canceled
374,374,3,2024-08-11,2025-05-11,canceled
375,375,2,2024-11-04,,active
376,376,2,2024-06-04,,active
377,377,3,2024-11-03,2025-11-03,canceled
378,378,2,2023-05-12,2024-12-12,canceled
379,379,3,2023-10-26,2024-06-26,canceled
380,380,2,2023-05-26,2024-04-26,canceled
381,381,1,2025-05-19,,active
382,382,2,2024-09-15,2025-12-15,canceled
383,383,2,2025-06-23,,active
384,384,1,2025-09-14,,active
385,385,1,2025-07-11,,active
386,386,1,2024-06-19,2025-02-19,canceled
387,387,2,2024-01-12,2024-04-12,canceled
388,388,2,2025-03-02,,active
389,389,1,2025-02-12,2025-06-12,canceled
390,390,3,2024-02-05,2024-06-05,canceled
391,391,2,2025-07-09,2025-08-09,canceled
392,392,2,2023-08-04,2024-11-04,canceled
393,393,1,2025-06-23,2025-08-23,canceled
394,394,1,2025-12-09,,active
395,395,2,2024-12-01,,active
396,396,2,2023-03-07,2023-06-07,canceled
397,397,2,2023-09-27,,active
398,398,2,2025-01-14,,active
399,399,2,2025-06-27,,active
400,400,3,2023-08-19,2023-09-19,canceled
401,401,2,2025-11-06,,active
402,402,1,2025-09-05,2025-11-05,canceled
403,403,1,2025-07-23,,active
404,404,1,2023-12-27,2025-03-27,canceled
405,405,2,2023-10-03,2024-01-03,canceled
406,406,1,2025-01-22,,active
407,407,1,2025-03-11,,active
408,408,2,2025-11-04,,active
409,409,2,2023-01-07,2023-04-07,canceled
410,410,1,2024-11-02,,active
411,411,2,2025-07-20,,active
412,412,3,2023-03-09,,active
413,413,2,2024-07-13,,active
414,414,2,2023-11-22,,active
415,415,1,2025-02-07,2025-11-07,canceled
416,416,3,2025-05-11,2025-06-11,canceled
417,417,2,2023-02-22,,active
418,418,3,2025-05-13,,active
419,419,2,2024-06-20,,active
420,420,2,2025-03-24,,active
421,421,2,2024-09-16,,active
422,422,2,2025-05-10,,active
423,423,2,2024-04-06,2024-09-06,canceled
424,424,2,2024-11-04,2025-02-04,canceled
425,425,2,2025-06-15,,active
426,426,1,2025-07-12,,active
427,427,2,2025-10-15,,active
428,428,2,2025-10-17,,active
429,429,1,2025-04-10,,active
430,430,2,2025-05-21,,active
431,431,1,2025-07-08,,active
432,432,3,2025-03-12,2025-07-12,canceled
433,433,2,2024-08-07,,active
434,434,3,2023-11-13,,active
435,435,1,2025-05-26,,active
436,436,3,2024-05-08,,active
437,437,3,2024-01-16,2024-11-16,canceled
438,438,1,2023-07-01,2023-11-01,canceled
439,439,1,2025-05-12,2025-12-12,canceled
440,440,3,2024-08-07,2025-09-07,canceled
441,441,2,2025-08-17,2025-09-17,canceled
442,442,2,2025-10-06,,active
443,443,2,2024-06-04,2024-08-04,canceled
444,444,2,2025-09-17,,active
445,445,2,2024-04-18,2024-06-18,canceled
446,446,3,2024-09-14,2025-05-14,canceled
447,447,1,2025-10-24,,active
448,448,3,2023-12-23,2025-10-23,canceled
449,449,2,2024-02-04,2024-06-04,canceled
450,450,1,2025-01-21,2025-02-21,canceled
451,451,2,2023-01-26,2023-03-26,canceled
452,452,3,2024-02-03,2024-07-03,canceled
453,453,1,2025-01-17,,active
454,454,1,2024-05-25,2024-06-25,canceled
455,455,2,2025-03-03,,active
456,456,2,2023-09-14,2025-05-14,canceled
457,457,3,2025-01-11,,active
458,458,1,2025-12-16,,active
459,459,3,2024-07-16,2025-10-16,canceled
460,460,2,2025-03-06,2025-07-06,canceled
461,461,1,2024-04-20,2025-07-20,canceled
462,462,1,2025-02-19,,active
463,463,1,2025-06-02,,active
464,464,3,2023-10-21,,active
465,465,3,2024-03-27,2025-05-27,canceled
466,466,2,2025-08-15,,active
467,467,1,2025-02-06,,active
468,468,2,2025-10-17,2025-12-17,canceled
469,469,3,2023-01-16,2023-05-16,canceled
470,470,3,2023-02-15,2023-10-15,canceled
471,471,1,2023-12-08,,active
472,472,1,2023-01-06,2025-11-06,canceled
473,473,1,2024-05-22,2025-09-22,canceled
474,474,1,2025-11-07,,active
475,475,2,2025-09-12,,active
476,476,1,2023-12-09,2024-02-09,canceled
477,477,2,2025-09-16,,active
478,478,2,2025-01-20,,active
479,479,2,2023-02-05,2023-03-05,canceled
480,480,3,2023-07-14,2023-11-14,canceled
481,481,1,2024-07-27,2025-07-27,canceled
482,482,2,2025-12-08,,active
483,483,2,2023-10-10,2024-11-10,canceled
484,484,3,2024-04-17,,active
485,485,1,2025-09-10,2025-11-10,canceled
486,486,2,2025-10-17,2025-11-17,canceled
487,487,1,2024-04-09,2024-05-09,canceled
488,488,2,2024-01-17,,active
489,489,2,2025-03-04,,active
490,490,2,2025-09-24,2025-10-24,canceled
491,491,1,2024-07-27,2025-11-27,canceled
492,492,1,2024-04-26,2024-06-26,canceled
493,493,2,2023-09-16,,active
494,494,2,2023-07-26,2023-10-26,canceled
495,495,3,2023-12-07,2024-08-07,canceled
496,496,2,2025-11-20,,active
497,497,3,2023-06-05,2023-08-05,canceled
498,498,1,2023-07-17,2024-05-17,canceled
499,499,1,2024-08-27,,active
500,500,2,2025-07-03,2025-08-03,canceled
501,501,1,2025-10-16,,active
502,502,2,2025-08-26,,active
503,503,2,2024-10-08,2024-12-08,canceled
504,504,3,2023-09-25,2024-04-25,canceled
505,505,2,2024-10-16,2025-12-16,canceled
506,506,2,2023-04-20,2025-05-20,canceled
507,507,1,2025-10-16,,active
508,508,3,2025-09-19,,active
509,509,3,2023-03-18,2023-04-18,canceled
510,510,3,2024-05-18,2024-06-18,canceled
511,511,1,2024-06-04,,active
512,512,3,2025-01-07,,active
513,513,1,2025-08-15,2025-09-15,canceled
514,514,1,2025-11-09,,active
515,515,1,2025-10-17,,active
516,516,1,2023-02-16,2023-04-16,canceled
517,517,2,2024-06-27,2024-07-27,canceled
518,518,2,2023-12-09,,active
519,519,2,2025-09-22,2025-11-22,canceled
520,520,1,2024-08-01,,active
521,521,1,2024-08-08,,active
522,522,2,2025-08-07,,active
523,523,2,2025-10-06,,active
524,524,3,2024-02-22,2024-03-22,canceled
525,525,1,2023-02-08,2023-05-08,canceled
526,526,3,2025-05-10,,active
527,527,1,2023-11-15,,active
528,528,2,2023-02-20,,active
529,529,3,2023-12-02,2024-08-02,canceled
530,530,2,2023-08-19,2023-12-19,canceled
531,531,2,2023-03-27,2023-08-27,canceled
532,532,1,2024-04-08,,active
533,533,3,2025-08-01,,active
534,534,2,2023-04-14,2023-11-14,canceled
535,535,1,2025-04-22,,active
536,536,1,2024-11-08,,active
537,537,1,2024-02-08,2024-04-08,canceled
538,538,1,2023-03-19,2025-09-19,canceled
539,539,2,2025-07-01,2025-12-01,canceled
540,540,2,2024-01-19,2025-04-19,canceled
541,541,1,2025-09-21,,active
542,542,2,2025-11-12,,active
543,543,2,2024-07-11,,active
544,544,2,2024-09-21,2025-02-21,canceled
545,545,3,2025-01-21,2025-02-21,canceled
546,546,1,2024-05-04,2025-04-04,canceled
547,547,2,2024-02-26,,active
548,548,2,2024-01-23,,active
549,549,2,2023-12-09,2025-04-09,canceled
550,550,1,2024-07-07,2025-07-07,canceled
551,551,1,2025-12-23,,active
552,552,3,2024-04-07,,active
553,553,1,2025-11-09,,active
554,554,3,2024-06-17,,active
555,555,3,2025-08-12,,active
556,556,1,2025-12-26,,active
557,557,2,2025-06-21,,active
558,558,3,2024-01-25,2024-06-25,canceled
559,559,1,2024-05-27,2025-01-27,canceled
560,560,2,2024-03-20,,active
561,561,2,2025-05-13,2025-09-13,canceled
562,562,3,2023-04-05,,active
563,563,2,2025-12-09,,active
564,564,1,2024-09-16,,active
565,565,3,2025-03-18,,active
566,566,2,2023-12-08,2025-02-08,canceled
567,567,2,2024-08-17,,active
568,568,2,2024-11-19,2024-12-19,canceled
569,569,2,2024-02-11,2024-03-11,canceled
570,570,2,2023-10-07,2023-12-07,canceled
571,571,3,2025-07-04,,active
572,572,2,2023-01-20,,active
573,573,1,2024-01-02,,active
574,574,2,2025-04-05,2025-08-05,canceled
575,575,2,2024-02-08,2024-03-08,canceled
576,576,1,2025-09-17,,active
577,577,2,2025-09-10,,active
578,578,3,2023-04-13,2025-07-13,canceled
579,579,1,2025-03-13,2025-04-13,canceled
580,580,1,2024-03-03,2025-11-03,canceled
581,581,2,2025-03-12,,active
582,582,2,2023-08-13,2023-12-13,canceled
583,583,1,2025-08-22,,active
584,584,2,2023-07-14,2024-06-14,canceled
585,585,2,2023-02-10,2024-10-10,canceled
586,586,2,2025-03-06,,active
587,587,1,2024-01-06,,active
588,588,2,2025-05-08,,active
589,589,2,2024-10-16,2025-03-16,canceled
590,590,3,2025-07-17,,active
591,591,1,2025-07-06,,active
592,592,1,2023-10-21,2024-01-21,canceled
593,593,2,2025-03-08,,active
594,594,2,2023-09-20,2025-02-20,canceled
595,595,3,2025-07-11,2025-11-11,canceled
596,596,1,2024-10-01,2024-11-01,canceled
597,597,1,2025-07-03,,active
598,598,1,2025-10-20,,active
599,599,2,2024-08-20,2025-05-20,canceled
600,600,2,2024-05-07,2025-03-07,canceled
601,601,1,2024-08-09,2025-11-09,canceled
602,602,1,2025-02-26,,active
603,603,3,2024-03-21,,active
604,604,1,2024-01-03,2024-05-03,canceled
605,605,1,2024-09-23,2025-10-23,canceled
606,606,3,2023-05-19,2025-06-19,canceled
607,607,2,2025-08-25,,active
608,608,1,2024-05-24,2025-04-24,canceled
609,609,2,2023-06-15,,active
610,610,1,2025-11-08,,active
611,611,1,2025-02-11,2025-04-11,canceled
612,612,2,2025-04-08,,active
613,613,1,2024-06-06,,active
614,614,3,2023-02-04,2025-06-04,canceled
615,615,1,2025-08-27,2025-12-27,canceled
616,616,3,2025-06-17,2025-11-17,canceled
617,617,2,2025-08-25,,active
618,618,2,2024-03-27,2024-06-27,canceled
619,619,2,2024-01-27,,active
620,620,2,2025-11-11,2025-12-11,canceled
621,621,3,2024-04-27,2024-06-27,canceled
622,622,2,2025-09-25,,active
623,623,3,2023-09-15,2024-02-15,canceled
624,624,3,2024-09-11,,active
625,625,1,2024-11-13,2025-09-13,canceled
626,626,2,2025-08-15,2025-11-15,canceled
627,627,2,2025-07-12,,active
628,628,2,2024-09-14,,active
629,629,2,2024-08-27,2024-11-27,canceled
630,630,2,2025-02-14,,active
631,631,2,2025-02-21,,active
632,632,1,2023-03-14,,active
633,633,1,2025-12-11,,active
634,634,2,2024-01-24,2024-04-24,canceled
635,635,2,2023-05-25,2024-09-25,canceled
636,636,1,2023-09-10,,active
637,637,2,2023-05-15,2025-04-15,canceled
638,638,2,2024-06-23,2024-08-23,canceled
639,639,1,2025-02-23,,active
640,640,1,2023-05-18,2025-12-18,canceled
641,641,2,2024-08-04,2025-11-04,canceled
642,642,2,2025-01-01,,active
643,643,2,2023-09-14,2025-09-14,canceled
644,644,1,2025-11-19,,active
645,645,1,2023-06-01,2025-03-01,canceled
646,646,1,2024-10-05,,active
647,647,1,2023-05-18,2024-07-18,canceled
648,648,2,2025-02-16,,active
649,649,2,2023-05-24,2023-06-24,canceled
650,650,2,2023-07-11,2024-07-11,canceled
651,651,1,2023-03-15,2023-05-15,canceled
652,652,2,2025-02-06,2025-04-06,canceled
653,653,1,2024-08-09,2024-12-09,canceled
654,654,2,2024-07-21,2024-10-21,canceled
655,655,2,2025-10-12,,active
656,656,1,2025-09-14,,active
657,657,2,2023-10-27,2023-12-27,canceled
658,658,1,2024-01-18,2024-02-18,canceled
659,659,2,2025-03-07,2025-08-07,canceled
660,660,3,2025-07-17,,active
661,661,1,2025-09-15,,active
662,662,1,2025-06-05,2025-08-05,canceled
663,663,2,2025-10-10,,active
664,664,2,2023-11-15,2025-05-15,canceled
665,665,1,2023-06-05,2023-07-05,canceled
666,666,1,2025-04-27,,active
667,667,1,2024-03-06,2024-04-06,canceled
668,668,2,2025-12-01,,active
669,669,1,2025-06-06,2025-09-06,canceled
670,670,2,2023-01-04,2024-01-04,canceled
671,671,3,2025-12-10,,active
672,672,1,2024-05-17,,active
673,673,1,2023-03-03,2025-02-03,canceled
674,674,2,2024-10-05,2025-03-05,canceled
675,675,3,2023-02-09,,active
676,676,2,2023-06-19,2023-07-19,canceled
677,677,3,2025-12-26,,active
678,678,1,2025-07-04,,active
679,679,3,2025-09-12,,active
680,680,1,2023-06-01,2024-08-01,canceled
681,681,2,2025-08-19,,active
682,682,1,2025-10-09,,active
683,683,2,2024-04-25,,active
684,684,2,2023-03-21,2023-09-21,canceled
685,685,2,2025-10-11,,active
686,686,2,2024-10-03,2025-01-03,canceled
687,687,2,2024-07-24,2024-08-24,canceled
688,688,2,2023-04-01,2023-10-01,canceled
689,689,1,2024-05-13,2024-12-13,canceled
690,690,1,2024-01-15,2024-03-15,canceled
691,691,3,2025-11-02,,active
692,692,1,2025-10-22,,active
693,693,2,2024-01-23,,active
694,694,1,2025-09-09,,active
695,695,3,2025-01-11,2025-05-11,canceled
